Sandra Moche,Gem Cutter,chowder mcarthor 
Segomo Gargalen,Ward,xanderdox 
Gryph Caves,Crusader,lipplop 
Grub Baxter,Vampire,gruesomeborg68915 
Daxus Gloger,Ghoul,getbrecked 
Sypar Zeschule,Ghoul,the flux orz 
Curnden Buchanan,Ghoul,tonybito 
Randy Quayle,Ghoul,the patriarch 
Toga Revok,Ghoul,gefrakt 
Barn Mauser,Soiler,sarkavonsy 
Sulik,Bum,zombiegamer31 
Finn Honeycomb,Unknown,akesson
Rezford Minsc,Unknown,orderofthedarkoats 
Darren Le Doux,Prophet,youngratlords
Izael Albright,Baron,topbirb 
Booker Nagel,Mercenary,dickwrath 
Astrid Nagel,Mercenary,thegel 
Vlado,Bum,spin 
Ivan Grozerg,Innkeeper,ningajai 
Dex Jones,Bishop,nocco 
Cedric Raam,Amuser,millefeuille 
Robin Von Biggles II,Prophet,unlimitedspessmans 
Valary Downs,Merchant,tablespoon 
Yves Knosso,Inquisitor,leanbeef 
Vladimir Grozerg,Weaponsmith,lol18 
Tzeentch Vaselko,Serpent,richtofen 
Harwin Melcolm,Docker,revachol 
Ramsay Laffert,Izael Albright's Squire,jetnissan 
Blair Cotasanto,Grimm Cotasanto's Squire,swagbag 
Skarn Von Biggles II,Meister,the flux orz 
Mark Reade,Rookie Cerberus,bruhok 
Cassian,Bum,loopty loo 
Daelus Lorens,Docker,spirithesis 
Lareck Nagel,Amuser,the patriarch 
Segomo Gargalen,Censor,xanderdox 
Morlis Hough,Unknown,advisorman 
Marion,Bum,themaskedman2 
Faryon Nagel,Mercenary,thgvr 
Scarlett Raam,Amuser,anewbyte 
Ramsay Grim,Misero,icarustre 
Jenk Downs,Geschef,rockyroadranch 
Yaroslav Albright,Heir,goatman123 
Loma Lortas,Fortune-teller,furya 
Bo Tong,Soiler,goodguy1448 
Darren Camp,Mercenary,youngratlords 
Cutter Grim,Hump,roaper 
Sandra Camp,Courier,chowder mcarthor 
Soc Vargas,Practicus,stinkethstonketh 
Cleth Melcolm,Amuser,red warrior42342432 
Grimm Cotasanto,Incarn,gruesomeborg68915 
Emett Lortas,Mortus,orderofthedarkoats 
Valeria Graver,Mortus,derpiestbruh 
Lou Grim,Armorsmith,scavengerquack 
Victor Melcolm,Pusher,cyrix01 
Kagain Camp,Teacher,tonybito 
Mirza Vaselko,Esculap,calcid 
Ted Bozz,Sniffer,beanstrom 
David Insomnia,Practicus,bongosz 
Barnabass Hough,Unknown,budrockstar 
Volikov Fyodorovich,Serpent,atomic galaxy 
Willow Shroomwood,Servant,guy-mallory 
Taros Frost,Rebel Peasant,aregrued 
Mingol Bonepicker,Mushroomcutter,farcry11 
Slavik Gluchnik,Courier,rag maggot 
Giova Gavrok,Grave Robber,loopty loo 
Wan Wan,Guest,teamstab 
Regli,Bum,corgies 
Frank Colbert,Blacksmith,zombiegamer31 
Wess Hess,Unknown,gubs48 
Spyridon Manse,Peasant,army231 
Gabriel Novak,Monk,octagonal fridays 
Jack Spanner,Hunter,redtrogdor 
Laura Gothwood,Maid,aago 
Nikita Frost,Raider,aregrued 
Tovek Manson,Grave Robber,tonybito 
Harlan Stark,Monk,an inmate 
Pavel,Bum,shanewayne9 
Gregor Vriggins,Grave Robber,r1q2 
Reeve Arkanis,Burglar,aregrued 
Giova,Bum,pickleman420 
Lara Leech,Adventurer,thegel 
Benedar Wonda,Teacher,millefeuille 
Tom Miller,Factory Kid,voidgazer 
Maryann Murrans,Swashbuckler,zombiegamer31 
Payte Vriggins,Grave Robber,r1q2 
Santiago Atwater,Trader,mxykikker 
Dumas Dreamer,Unknown,average_joe22 
Goris Arbus,Grave Robber,lipplop 
Astoria Relocate,Maid,hakca 
Crush Kitzinger,Mushroomcutter,yungfunyuns 
Joshua Stone,Robber,pauls4eva 
Doofus,Bum,bluethulhu 
Tyrone Raven,Unknown,borntokill946 
Randal Griggs,Raider,kyrac 
Blake Burton,Unknown,
Bune Dracz,Unknown,
Pere Coleman,Unknown,
Alerik Colbert,Unknown,
Damian Bestmin,Unknown,
Sulaiman,Soulbreaker,shanewayne9 
Bashar Dawood,Soulbreaker Bashar,beanstrom 
Saffah,Soulbreaker,bruhok 
Eunuch Hussein,Soulbreaker Eunuch,an inmate 
Musa,Soulbreaker,advisorman 
Rachel Fornick,Apprentice,zilenan91
Yousef Halencia,Baron,ltwiseguy 
Wade Laquarius,Soiler,acorn broadcast 
Alex Copper,Practicus,dickwrath 
Astoria Halencia,Baroness,hakca 
Ebregisel Vegman,Innkeeper,ningajai 
Robin Lorens,Prophet,unlimitedspessmans 
Mykola Barsky,Practicus,cyrix01 
Morlis Streuss,Pusher,advisorman 
Bildrum Hogsblood,Practicus,an inmate 
Tyrone Burns,Yousef Halencia's Squire,borntokill946 
Valary Von Biggles II,Merchant,tablespoon 
Magdalena Raven,Practicus,orderofthedarkoats 
Wan Wan,Skarn Von Biggles II's Squire,teamstab 
Skarn Von Biggles II,Cerberus,the flux orz 
Krom Oathaga,Spyridon Manse's Squire,jetnissan 
Myrtis Moche,Teacher,tonybito 
Teron Halencia,Heir,richtofen 
Puella Grim,Maid,corgies 
Helyna Lorens,Amuser,spirithesis 
Tony Stromboli,Mortus,guy-mallory 
Dumas Dreamer,Unknown,average_joe22 
Russell Northey,Esculap,gb 
Mark Von Biggles II,Rookie Cerberus,bruhok 
Jenk Manse,Servant,rockyroadranch 
Unshey Halencia,Successor,lipplop 
Shoon Dampe,Nun,swagbag 
Tom Miller,Soiler,voidgazer 
Lou Grim,Armorsmith,scavengerquack 
Cutter Manse,Hump,roaper 
Connor Streuss,Incarn,zilenan91 
Ramsay Grim,Hump,icarustre 
Faryon Dampe,Cerberus,thgvr 
Sandra Moche,Aristocrat,chowder mcarthor 
Cleth Darre,Sniffer,red warrior42342432 
Valeria Graver,Baroness's Bodyguard,derpiestbruh 
Spyridon Manse,Censor,army231 
Grimm Manse,Apprentice,gruesomeborg68915 
Trish Grim,Fortune-teller,themaskedman2 
Astrid Moche,Mercenary,thegel 
Kobe Rubio,Amuser,pickleman420 
Earl Sherwood,Mercenary,kyrac 
Gwen Vegman,Innkeeper's Wife,anewbyte 
Jocien Northey,Meister,shanewayne9 
Wes Van Lierde,Geschef,bluethulhu 
Asher Reyne,Inquisitor,the respected man 
Gmyza Miller,Misero,aago 
Midar Sighora,Docker,zombiegamer31 
Igor Dampe,Arkon Dane's Squire,bunmo 
Kjeld Drumm,Guest,yungfunyuns 
Arkon Dane,Cerberus,budrockstar 
Volikov Fyodorovich,Serpent,atomic galaxy 
Kenzie Siegrist,Amuser,rag maggot 
Vrana Vernyy,Stone Carver,loopty loo 
Taros Frost,Rogue,aregrued 
Izael Albright,Burglar,topbirb 
Jerry Wong,Hunter,mxykikker 
Gan Pilpil,Mortus,hi_im_white 
Mize Swaggart,Acrobat,pauls4eva 
Gran Dobbs,Mushroomcutter,stingray540 
Julie Archambault,Tanner,goatman123 
Mingol Bonepicker,Aristocrat,farcry11 
Helman Lowe,Znamak,beanstrom 
Hadley Dosan,Aristocrat,leanbeef 
Viconia Henke,Metalsmith,dilithium 
Gert Yolk,Courier,realmagnum 
Gan Khan,Mushroomcutter,codycloak 
Vinny Gootlooken,Robber,guayo 
Wess Hess,Unknown,gubs48 
Lareck Letruq,Weaponsmith,the patriarch 
Yark Threeoath,Grave Robber,lipplop 
Omina Leuhau,Maid,budrockstar 
